akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.165729 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f1889704000 <0.000009>
49726 09:09:44.165757 mmap(NULL, 28728, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18896fc000 <0.000009>
49726 09:09:44.165782 mmap(0x7f18896fe000, 12288, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2000) = 0x7f18896fe000 <0.000011>
49726 09:09:44.165809 mmap(0x7f1889701000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5000) = 0x7f1889701000 <0.000010>
49726 09:09:44.165834 mmap(0x7f1889702000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x6000) = 0x7f1889702000 <0.000010>
49726 09:09:44.165961 mmap(NULL, 24712, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18896f5000 <0.000010>
49726 09:09:44.165987 mmap(0x7f18896f7000, 8192, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2000) = 0x7f18896f7000 <0.000012>
49726 09:09:44.166015 mmap(0x7f18896f9000, 4096, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4000) = 0x7f18896f9000 <0.000010>
49726 09:09:44.166042 mmap(0x7f18896fa000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x4000) = 0x7f18896fa000 <0.000010>
49726 09:09:44.166154 mmap(NULL, 1310000, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18895b5000 <0.000010>
49726 09:09:44.166184 mprotect(0x7f18895ce000, 1187840, PROT_NONE) = 0 <0.000011>
49726 09:09:44.166211 mmap(0x7f18895ce000, 573440, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x19000) = 0x7f18895ce000 <0.000010>
49726 09:09:44.166238 mmap(0x7f188965a000, 610304, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xa5000) = 0x7f188965a000 <0.000010>
49726 09:09:44.166263 mmap(0x7f18896f0000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x13a000) = 0x7f18896f0000 <0.000009>
49726 09:09:44.166378 mmap(NULL, 28936, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f18895ad000 <0.000010>
49726 09:09:44.166404 mmap(0x7f18895af000, 12288, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2000) = 0x7f18895af000 <0.000011>
